,,,sysbench,,,y-cruncher,,,pgbench,,,iperf,,,,,,
instanceID,setId,tenants,sysbench_wall_time,sysbench_std,sysbench_cv,ycruncher_wall_time,ycruncher_std,ycruncher_cv,pgbench_transactions,pgbench_std,pgbench_cv,bandwidthUpload,bandwitdhDownload,iperf_total,stdUp,stdDown,stdTotal,iperf_cv
i-00ba7a56c944e5a25,1,47,9.052540488,0.02126781288,0.002349375063,6.554025279,0.02513056982,0.003834371817,124615.3333,168.0962026,0.0013489207,775,628.5,1403.5,655.9339398,339.190294,983.4266905,0.7006958963
i-00d71d40b42658392,1,47,9.048826615,0.01386006238,0.001531697199,6.609550132,0.2152376647,0.03256464667,122821.6667,569.6809048,0.004638276945,529.9,498.8,1028.7,159.7264676,178.3914547,189.0831974,0.1838079104
i-01f539b055c2a5d34,1,47,9.048472908,0.01446875159,0.001599026901,6.426703665,0.05019084728,0.007809734181,124665.6667,486.510363,0.003902520847,560,567.6,1127.6,158.4543397,115.0286921,246.5807057,0.2186774616
i-0243a74ede206f760,1,47,9.047292312,0.01516023091,0.001675664982,6.466193596,0.07023575912,0.01086199447,124727,177.75545,0.001425156141,499.6,520.9,1020.5,137.6252561,145.7886217,245.3601661,0.240431324
i-02765ba82e12781a4,1,47,9.049215449,0.01425485887,0.001575259087,6.523258077,0.03232527819,0.00495538852,123073,517.6977883,0.00420642861,576.2,511.2,1087.4,178.6677861,139.8799485,301.441426,0.277213009
i-02ca0e36a4acaf9fc,1,47,9.050026258,0.01342351346,0.001483256852,6.491234647,0.07431530443,0.01144856233,122478,121.577136,0.0009926446873,578,537.7,1115.7,250.3757177,195.0008832,309.1066159,0.2770517307
i-040dfb2d2a1990b9d,1,47,9.047796541,0.01341636361,0.001482832152,6.449173345,0.05321072764,0.008250782665,123491,786.834163,0.006371591152,546.1,522.6,1068.7,127.4288037,74.1143261,190.9863579,0.1787090464
i-048c3c6548c1a414a,1,47,9.049773455,0.01394848838,0.001541308018,6.596384075,0.1484060098,0.02249808502,123590.3333,98.28699473,0.0007952644198,517.6,495.8,1013.4,178.8731394,76.37160613,177.9639164,0.1756107326
i-0507566c757134fb6,1,47,9.053628604,0.02028258714,0.002240271611,6.546731234,0.05354997876,0.008179651318,124023.6667,101.6333279,0.0008194672081,593.3,584.4,1177.7,376.0532025,206.8994388,554.3570951,0.4707116372
i-05e473f8ff82c1527,1,47,9.052327712,0.01795360015,0.001983313101,6.411597411,0.04185742769,0.006528393005,124017.6667,492.3944895,0.003970357634,657.3,640.9,1298.2,438.2292779,436.6077441,869.6479237,0.6698874778
i-067b2519b614c8f9d,1,47,9.050176038,0.01518102824,0.001677429055,6.384068754,0.0355809418,0.005573395771,123165.6667,376.1573252,0.003054076151,529.2,500.3,1029.5,310.6050726,178.1560178,472.0120643,0.4584867065
i-06b96f53253b4cc2e,1,47,9.050600211,0.01706798053,0.001885839628,6.53071777,0.06362930632,0.009743080096,124210,224.3858284,0.001806503731,560.9,588.4,1149.3,357.8710041,157.8981388,484.6774529,0.421715351
i-071a48cf857bce94f,1,47,9.051059696,0.01597008996,0.00176444422,6.528216998,0.09869480035,0.01511818623,122764.3333,641.9784524,0.005229356401,705.4,560.8,1266.2,764.1186935,354.8373023,1106.806999,0.8741170424
i-07379900fe80899d6,1,47,9.053275029,0.01947460526,0.002151111636,6.529012972,0.06593181054,0.01009828144,123157,297.2339146,0.002413455302,570,526.3,1096.3,200.2587215,224.1428364,399.1129191,0.3640544734
i-0763ab86e85627573,1,47,9.051558627,0.01737935057,0.001920039552,6.545122438,0.02466496927,0.0037684504,115599.3333,53.79900866,0.0004653920322,711,653.5,1364.5,395.5659799,423.8441144,788.7544682,0.5780538426
i-07998976f194caa97,1,47,9.050803185,0.01753361694,0.001937244307,6.476739751,0.03633419803,0.005609951832,124298.6667,227.820836,0.0018328502,533.3,624.1,1157.4,205.6264412,201.0541386,387.4985878,0.3348009226
i-07be1c77f6fdf8eda,1,47,9.054163005,0.01499350157,0.001655978754,6.555731323,0.03965932356,0.006049565122,124603,361.0415489,0.002897534962,351.3,504,855.3,124.0842456,187.7291193,289.3517851,0.3383044372
