instanceID,bandwidthUpload,bandwitdhDownload,total,setId,tenants,stdUp,stdDown,stdTotal
i-07379900fe80899d6,865.0,723.3,1588.3,35,35,354.4626606255979,194.01892805714715,420.2472949215603
i-07998976f194caa97,936.9,782.1,1719.0,35,35,279.5160301505284,154.80844794634288,322.37659137515965
i-07be1c77f6fdf8eda,601.2,635.2,1236.4,35,35,110.49062303099653,168.05210832093454,241.24823545698965
i-08559b79281547ef2,810.8,795.0,1605.8,35,35,315.7748142796276,173.93868651529672,378.1028078887188
i-08e70b514c8c3cd5a,696.6,591.1,1287.7,35,35,304.24668353894094,147.33819750643227,380.8050098876793
i-08ff78a502245298a,571.5,649.5,1221.0,35,35,162.39338382800918,166.33851027347816,292.98122806760165
i-095d06d26dd29ecec,796.5,666.2,1462.7,35,35,416.0110174823098,232.64651297623183,630.1953929800925
i-0977cb2af690d36fd,694.1,669.0,1363.1,35,35,206.18193152865962,175.9242261126458,349.1893628264056
i-09c658651b17c197e,575.9,737.5,1313.4,35,35,204.81181064034803,215.6474746741388,349.2710504274104
i-0aecb3d1daeccc874,619.3,785.3,1404.6,35,35,248.2977826902385,215.52883282238082,413.30166545353615
i-0b138e3642a677559,1031.0,1016.7,2047.7,35,35,1291.1225950914018,1268.8005753466539,2558.689423643805
i-0c3e9f9e7b281edfe,643.5,649.7,1293.2,35,35,292.86297516453357,187.6918573975263,342.3412202921394
i-0cc4b604b837f69d9,651.4,714.5,1365.9,35,35,260.7349441695744,219.1935978383797,387.42037174682036
i-0d136c81f43ce8a29,871.3,727.7,1599.0,35,35,367.24773654850486,139.92303439947108,433.87299729042576
i-0d44050a4e6a71d7c,656.0,648.4,1304.4,35,35,247.89289802027184,184.4452342687239,397.51539453068847
i-0d6feb91baa545931,848.0,739.0,1587.0,35,35,310.43267296540233,163.31020244376106,353.69698267804824
i-0d75b8bf3603b2040,498.4,723.9,1222.3,35,35,290.7722285378865,169.28506529913776,265.27053276901216
i-0dcfa6d3bc470d28d,538.7,759.7,1298.4,35,35,284.96122543251386,181.02427707047718,380.7834613588731
i-0e167bbfcd6a685f5,1043.6,1077.6,2121.2,35,35,1277.3026440293797,1252.479957701697,2524.3532417015035
i-0ede59d8254436a40,836.8,790.1,1626.9,35,35,314.59349431713724,87.30972963472564,314.6438727619953
i-0f285214d5c41327e,751.9,701.3,1453.2,35,35,128.90000430997318,147.9880250410673,217.54427391018848
i-0009b7735dea24732,766.6,618.4,1385.0,36,36,445.48530341140946,216.9184178441287,633.6816585987356
i-002f7e27ea3e0bc1c,682.9,611.9,1294.8,36,36,468.9580530874329,132.5220736330367,529.6726032811841
i-007e12c9530b8cdea,568.7,729.4,1298.1,36,36,203.5310787078966,246.5018368198411,372.3327215751465
i-008e6f72c7403b5d3,851.3,805.1,1656.4,36,36,433.9055324734995,257.18797708204704,629.3572029371626
i-00d71d40b42658392,442.9,647.3,1090.2,36,36,175.84996761760038,197.58151622951868,240.2211018578047
i-01f539b055c2a5d34,546.1,654.4,1200.5,36,36,135.47484391330124,197.00321486378508,294.6663838611011
i-0243a74ede206f760,494.9,616.8,1111.7,36,36,167.36350989521114,218.81590435797852,289.860522013989
i-02765ba82e12781a4,1243.9,905.8,2149.7,36,36,1209.492405010374,577.5647727023062,1774.9339925128984
i-02ca0e36a4acaf9fc,778.1,768.1,1546.2,36,36,258.36212742754867,241.000899030135,360.4175973013033
i-040dfb2d2a1990b9d,916.2,768.2,1684.4,36,36,1358.6008979829212,626.281938639992,1972.8457280453194
i-048c3c6548c1a414a,636.7,691.2,1327.9,36,36,144.8854336670491,266.88607640298096,347.76666826416175
i-0507566c757134fb6,398.3,692.7,1091.0,36,36,107.50302321330318,308.6836028471008,350.4654048547445
i-067b2519b614c8f9d,509.4,572.9,1082.3,36,36,237.80673759261836,213.66248045821138,414.7398247362101
i-06b96f53253b4cc2e,991.1,726.8,1717.9,36,36,312.5626870458682,172.5313498082788,406.17742428648097
i-07379900fe80899d6,601.7,647.5,1249.2,36,36,241.27211470315697,260.4539839929076,362.81149069148535
i-07998976f194caa97,973.4,755.5,1728.9,36,36,396.7132185569038,241.85957817617137,487.63840200614953
i-07be1c77f6fdf8eda,478.3,643.7,1122.0,36,36,131.8433835191504,199.8705414345329,258.6670962195746
i-08559b79281547ef2,711.6,710.8,1422.4,36,36,355.78183077710855,213.73805359728428,476.45641050479236
i-08e70b514c8c3cd5a,745.5,705.0,1450.5,36,36,121.02180703401257,128.0338496908793,210.1640893312757
i-08ff78a502245298a,673.5,737.8,1411.3,36,36,201.0230777243692,169.24197010329456,283.43843148811777
i-095d06d26dd29ecec,732.6,759.3,1491.9,36,36,208.1603014772776,177.99191617099422,232.26156232431865
i-0977cb2af690d36fd,578.9,815.2,1394.1,36,36,230.0451404978307,165.32580628027262,295.8184315495646
i-09c658651b17c197e,834.8,809.1,1643.9,36,36,386.0986632685715,189.2114924862887,482.4798095948334
i-0aecb3d1daeccc874,908.5,724.2,1632.7,36,36,464.7568659465338,274.21637847185974,648.0377303830387
i-0b138e3642a677559,879.1,713.3,1592.4,36,36,1310.5249541903258,630.1199268569612,1923.1374365863715
i-0c3e9f9e7b281edfe,647.7,639.4,1287.1,36,36,244.32448824371977,126.49040367641422,337.17468271901237
i-0cc4b604b837f69d9,635.5,623.0,1258.5,36,36,158.4103321546083,137.48535275520163,215.71959680206257
i-0d136c81f43ce8a29,825.7,604.2,1429.9,36,36,325.1598068642556,134.39725526297858,447.61105387999027
i-0d44050a4e6a71d7c,726.1,747.8,1473.9,36,36,315.4733480554789,213.1508594608262,487.2014071317027
i-0d6feb91baa545931,1058.8,712.0,1770.8,36,36,620.6483706576535,182.1171783953031,726.9084918719519
i-0d75b8bf3603b2040,646.3,636.4,1282.7,36,36,199.7137117642819,137.2655172365668,292.39320937547245
i-0dcfa6d3bc470d28d,619.6,628.6,1248.2,36,36,167.44299195713018,163.2490939229577,251.06165688044746
i-0e167bbfcd6a685f5,1009.8,904.5,1914.3,36,36,1305.7066030825354,589.6773599934874,1871.9478892319626
i-0ede59d8254436a40,784.7,751.1,1535.8,36,36,420.4069589232689,291.23852385592426,591.8280155585743
i-0f285214d5c41327e,823.6,635.0,1458.6,36,36,452.9371307857686,200.29811115767748,592.3268992334855
i-0f472084ac3992ad9,920.5,804.9,1725.4,36,36,1274.6469009973791,595.2007037779591,1856.1681676687235
i-0009b7735dea24732,723.2,740.4,1463.6,37,37,263.2644635680589,152.93222899920954,310.6814016534194
i-002f7e27ea3e0bc1c,784.3,640.3,1424.6,37,37,339.8695991765731,156.3450955063474,462.43490833245323
i-007e12c9530b8cdea,609.2,722.8,1332.0,37,37,226.25884881406668,198.07787469690916,357.6158708881796
i-008e6f72c7403b5d3,915.8,752.6,1668.4,37,37,384.8791440901359,136.25727299650632,429.38902330326675
i-00ba7a56c944e5a25,1148.1,1030.6,2178.7,37,37,1261.8092345693324,1230.3741255768055,2488.9957390258605
i-00d71d40b42658392,506.8,677.9,1184.7,37,37,268.01857315409234,201.44227185198466,322.6897546836246
i-01f539b055c2a5d34,461.5,638.5,1100.0,37,37,172.30415613740203,250.51602299609058,328.50367831527655
i-0243a74ede206f760,498.0,717.0,1215.0,37,37,173.37948103637999,146.15972997603228,165.76154224936758
i-02765ba82e12781a4,1296.1,808.8,2104.9,37,37,1262.861077078552,390.50958161527006,1624.8307569986753
i-02ca0e36a4acaf9fc,645.5,628.3,1273.8,37,37,211.32662975698176,109.2734083744887,276.99370229503614
i-040dfb2d2a1990b9d,909.8,1095.4,2005.2,37,37,929.8060490709279,1241.8101662045165,2150.560640081248
i-048c3c6548c1a414a,587.0,728.9,1315.9,37,37,113.1743983613098,177.85977622835355,209.69790440324172
i-0507566c757134fb6,717.1,628.4,1345.5,37,37,334.40841629493855,206.22544298251208,440.9497955802023
i-067b2519b614c8f9d,689.0,690.7,1379.7,37,37,183.81996022678763,101.17646849825199,206.83114422693265
i-06b96f53253b4cc2e,690.2,651.3,1341.5,37,37,142.11482055796372,122.83869278221924,224.3401435320928
i-07379900fe80899d6,613.8,602.5,1216.3,37,37,291.6473517414101,216.60627363439357,437.43927832582915
i-07998976f194caa97,690.6,609.7,1300.3,37,37,303.5904404877656,154.21417286070405,414.4482409715892
i-07be1c77f6fdf8eda,528.0,589.2,1117.2,37,37,234.4307526281008,206.3313408627546,274.5666484561525
i-08559b79281547ef2,693.6,615.2,1308.8,37,37,192.00937477112936,158.57125983117007,295.78888868019817
i-08e70b514c8c3cd5a,585.1,635.3,1220.4,37,37,293.857656395443,245.18385391828357,500.1900083412747
