python3 distribute_work.py -b sysbench -s -c 5 -n 10 -d 2,,,,,,,,
experimentID,setId,instanceID,instanceType,wallTime,testOption,per-request-avg-time,total-time,thread-num
1573168503-0,0,i-03ce6d0f6fcb281f4,m5d.large,9.040323257,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1802.64ms,9.0173s,2
1573168503-0,0,i-03ce6d0f6fcb281f4,m5d.large,9.065252304,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1805.73ms,9.0347s,2
1573168503-0,0,i-03ce6d0f6fcb281f4,m5d.large,9.062971354,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1803.59ms,9.0209s,2
1573168503-0,0,i-03ce6d0f6fcb281f4,m5d.large,9.058205366,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1802.52ms,9.0160s,2
1573168503-0,0,i-03ce6d0f6fcb281f4,m5d.large,9.071250677,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1804.42ms,9.0237s,2
1573168503-0,0,i-03ce6d0f6fcb281f4,m5d.large,9.108061075,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1808.03ms,9.0611s,2
1573168503-0,0,i-03ce6d0f6fcb281f4,m5d.large,9.056840181,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1802.83ms,9.0173s,2
1573168503-0,0,i-03ce6d0f6fcb281f4,m5d.large,9.060637712,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1804.15ms,9.0213s,2
1573168503-0,0,i-040800b05979b298d,m5d.large,9.056717396,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1804.56ms,9.0240s,2
1573168503-0,0,i-040800b05979b298d,m5d.large,9.049989939,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1803.35ms,9.0246s,2
1573168503-0,0,i-040800b05979b298d,m5d.large,9.044717789,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1803.08ms,9.0186s,2
1573168503-0,0,i-040800b05979b298d,m5d.large,9.059274435,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1805.84ms,9.0363s,2
1573168503-0,0,i-040800b05979b298d,m5d.large,9.049210072,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1804.31ms,9.0260s,2
1573168503-0,0,i-040800b05979b298d,m5d.large,9.040789843,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1803.22ms,9.0163s,2
1573168503-0,0,i-040800b05979b298d,m5d.large,9.045033216,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1803.78ms,9.0215s,2
1573168503-0,0,i-040800b05979b298d,m5d.large,9.094827175,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1809.79ms,9.0718s,2
1573168503-0,0,i-040800b05979b298d,m5d.large,9.042785406,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1803.00ms,9.0200s,2
1573168503-0,0,i-040800b05979b298d,m5d.large,9.043641329,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1803.16ms,9.0201s,2
1573168503-0,0,i-04afbb080c99db001,m5d.large,9.06881547,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1805.38ms,9.0354s,2
1573168503-0,0,i-04afbb080c99db001,m5d.large,9.05126977,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1803.67ms,9.0253s,2
1573168503-0,0,i-04afbb080c99db001,m5d.large,9.043007612,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1803.76ms,9.0190s,2
1573168503-0,0,i-04afbb080c99db001,m5d.large,9.063469887,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1807.87ms,9.0402s,2
1573168503-0,0,i-04afbb080c99db001,m5d.large,9.053152323,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1804.89ms,9.0285s,2
1573168503-0,0,i-04afbb080c99db001,m5d.large,9.044036865,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1803.28ms,9.0187s,2
1573168503-0,0,i-04afbb080c99db001,m5d.large,9.047776699,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1804.29ms,9.0238s,2
1573168503-0,0,i-04afbb080c99db001,m5d.large,9.094882965,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1809.07ms,9.0694s,2
1573168503-0,0,i-04afbb080c99db001,m5d.large,9.051017046,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1804.19ms,9.0251s,2
1573168503-0,0,i-04afbb080c99db001,m5d.large,9.048927307,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1804.20ms,9.0233s,2
1573168503-0,0,i-04de8d0c4c390bf8a,m5d.large,9.098328829,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1803.65ms,9.0210s,2
