experimentID,instanceID,instanceType,wallTime,testOption,per-request-avg-time,total-time,thread-num
1574752581-20,i-05973d6d31f353006,z1d.large,6.796359777,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1352.18ms,6.7625s,2
1574752581-20,i-05973d6d31f353006,z1d.large,6.783014297,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1351.79ms,6.7607s,2
1574752581-20,i-05973d6d31f353006,z1d.large,6.781821012,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1351.77ms,6.7603s,2
1574752581-21,i-05973d6d31f353006,z1d.large,6.797791004,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1351.82ms,6.7598s,2
1574752581-21,i-05973d6d31f353006,z1d.large,6.783995867,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1351.99ms,6.7605s,2
1574752581-21,i-05973d6d31f353006,z1d.large,6.782912016,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1352.21ms,6.7611s,2
1574752581-22,i-05973d6d31f353006,z1d.large,6.784578085,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1352.18ms,6.7613s,2
1574752581-22,i-05973d6d31f353006,z1d.large,6.782085896,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1351.88ms,6.7598s,2
1574752581-22,i-05973d6d31f353006,z1d.large,6.785103559,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1351.88ms,6.7608s,2
1574752581-0,i-0f489664be6f77a24,z1d.large,6.805627823,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1352.03ms,6.7621s,2
1574752581-0,i-0f489664be6f77a24,z1d.large,6.785793543,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1352.00ms,6.7628s,2
1574752581-0,i-0f489664be6f77a24,z1d.large,6.784879446,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1351.94ms,6.7639s,2
