experimentID,setId,instanceID,instanceType,wallTime,testOption,per-request-avg-time,total-time,thread-num
1574832396-1,1,i-0bd7297ea3249dfe3,z1d.large,6.833146334,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1358.94ms,6.8044s,2
1574832396-1,1,i-082b0ee8827dfb932,z1d.large,6.813724041,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1353.57ms,6.7683s,2
1574832396-1,1,i-082b0ee8827dfb932,z1d.large,6.792763948,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1353.21ms,6.7686s,2
1574832396-1,1,i-082b0ee8827dfb932,z1d.large,6.831936598,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1357.52ms,6.8067s,2
1574832396-1,1,i-0931851f8c4bac439,z1d.large,6.805801153,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1354.59ms,6.7753s,2
1574832396-1,1,i-0931851f8c4bac439,z1d.large,6.8014853,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1353.75ms,6.7723s,2
1574832396-1,1,i-0931851f8c4bac439,z1d.large,6.833001614,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1357.13ms,6.8055s,2
1574832396-1,1,i-0f8a8b0ebf4419714,z1d.large,6.811205387,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1353.33ms,6.7733s,2
1574832396-1,1,i-0f8a8b0ebf4419714,z1d.large,6.799196243,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1353.35ms,6.7700s,2
1574832396-1,1,i-0f8a8b0ebf4419714,z1d.large,6.835878372,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1358.61ms,6.8071s,2
1574832396-1,1,i-0c390ac086616c1f4,z1d.large,6.799535513,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1353.51ms,6.7731s,2
1574832396-1,1,i-0c390ac086616c1f4,z1d.large,6.798231363,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1352.77ms,6.7698s,2
1574832396-1,1,i-0c390ac086616c1f4,z1d.large,6.826524019,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1357.36ms,6.7971s,2
1574832396-1,1,i-08ae75814bd91150d,z1d.large,6.812952518,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1353.43ms,6.7787s,2
1574832396-1,1,i-08ae75814bd91150d,z1d.large,6.793153763,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1352.88ms,6.7667s,2
1574832396-1,1,i-08ae75814bd91150d,z1d.large,6.82832098,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1357.89ms,6.8040s,2
1574832396-1,1,i-0782c0184dee1eddb,z1d.large,6.796191454,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1353.78ms,6.7711s,2
1574832396-1,1,i-0782c0184dee1eddb,z1d.large,6.789390087,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1352.80ms,6.7662s,2
1574832396-1,1,i-0782c0184dee1eddb,z1d.large,6.830033302,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1357.25ms,6.8070s,2
1574832396-1,1,i-00de3be9f53cc3912,z1d.large,6.808774471,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1352.70ms,6.7646s,2
1574832396-1,1,i-00de3be9f53cc3912,z1d.large,6.794896126,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1354.04ms,6.7706s,2
1574832396-1,1,i-00de3be9f53cc3912,z1d.large,6.827031374,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1357.07ms,6.8022s,2
1574832396-1,1,i-0f5fe27ff0ef6e381,z1d.large,6.804389,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1352.57ms,6.7643s,2
1574832396-1,1,i-0f5fe27ff0ef6e381,z1d.large,6.794226408,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1352.94ms,6.7649s,2
1574832396-1,1,i-0f5fe27ff0ef6e381,z1d.large,6.793724298,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1352.59ms,6.7640s,2
1574832396-1,1,i-0df98229e2e8403eb,z1d.large,6.802214146,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1353.42ms,6.7672s,2
1574832396-1,1,i-0df98229e2e8403eb,z1d.large,6.794797897,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1353.71ms,6.7732s,2
1574832396-1,1,i-0df98229e2e8403eb,z1d.large,6.827081919,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1357.46ms,6.8059s,2
1574832396-1,1,i-0220dc64a60fd1f9f,z1d.large,6.844937086,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1353.81ms,6.7709s,2
