instanceID,setId,tenants,sysbench_wallTime,sysbench_std_wallTime,y_cruncher_wallTime,y_cruncher_std_wallTime,pgbench_transactions,pgbench_std_transactions,instanceID,iperf_bandwidthUpload,iperf_bandwitdhDownload,iperf_total,iperf_stdUp,iperf_stdDown,iperf_stdTotal
i-0e167bbfcd6a685f5,1,47,9.050197124,0.015415275,6.530959209,0.029104557,124012.6667,310.1891896,i-0e167bbfcd6a685f5,552.6,538.1,1090.7,204.8908653,120.2603195,304.2751131
i-0ede59d8254436a40,1,47,9.046478536,0.014955712,6.403067986,0.060660298,125163,234.9212634,i-0ede59d8254436a40,710,571,1281,363.5947072,145.3050431,474.8349421
i-0f285214d5c41327e,1,47,9.050700506,0.014071942,6.491168552,0.036336776,125052.6667,325.0620454,i-0f285214d5c41327e,506.5,539.8,1046.3,110.1799034,141.3465403,174.6927779
i-0f472084ac3992ad9,1,47,9.060860687,0.018842605,6.527243747,0.024882427,126058.3333,261.2859226,i-0f472084ac3992ad9,569.4,573.4,1142.8,308.4269047,352.5690476,643.8401803
i-0009b7735dea24732,2,46,9.054579046,0.00631731,6.353436152,0.048419424,126450.6667,427.2965403,i-0009b7735dea24732,574.2,565.3,1139.5,124.6317242,121.7109965,209.3260349
i-002f7e27ea3e0bc1c,2,46,9.045120292,0.005191768,6.350621541,0.037600693,123215.3333,248.5243114,i-002f7e27ea3e0bc1c,639.4,600.4,1239.8,277.3910998,146.1446772,334.827916
i-007e12c9530b8cdea,2,46,9.06746806,0.045873628,6.382740869,0.090887508,122515.3333,294.5239096,i-007e12c9530b8cdea,506.3,528.3,1034.6,121.8569745,117.5623239,226.6275456
i-008e6f72c7403b5d3,2,46,9.0421581,0.005864868,6.354813099,0.049068263,127146.3333,582.5472799,i-008e6f72c7403b5d3,604.2,520.5,1124.7,195.0423316,102.7167086,285.8177547
i-00ba7a56c944e5a25,2,46,9.054463307,0.008446947,6.553260697,0.056066198,126584.6667,229.3171021,i-00ba7a56c944e5a25,802,638.3,1440.3,549.9832321,302.6053719,798.8408338
i-00d71d40b42658392,2,46,9.042040348,0.006125865,6.358044068,0.042961885,123655.3333,242.2691341,i-00d71d40b42658392,565.4,451.8,1017.2,295.2653044,177.2912231,469.3841829
i-01f539b055c2a5d34,2,46,9.051512162,0.010912664,6.305476136,0.016326343,126836,69.15923655,i-01f539b055c2a5d34,500.5,611.1,1111.6,142.7999767,135.0518008,169.4751375
i-0243a74ede206f760,2,46,9.056496329,0.037461868,6.364769565,0.036301858,126725.6667,246.6461703,i-0243a74ede206f760,443.2,495,938.2,132.0503271,125.744008,195.6327625
i-02765ba82e12781a4,2,46,9.044465595,0.008486265,6.552473201,0.058727659,123554,357.030811,i-02765ba82e12781a4,568.7,629.4,1198.1,247.9632813,377.7836535,468.9815088
i-02ca0e36a4acaf9fc,2,46,9.043026315,0.00772538,6.374204344,0.053689731,124641,316.9652978,i-02ca0e36a4acaf9fc,607.6,621.4,1229,150.8076037,152.5160829,218.4394144
i-040dfb2d2a1990b9d,2,46,9.043230454,0.006952757,6.37060931,0.050845776,123902,35.34119409,i-040dfb2d2a1990b9d,430.2,467.6,897.8,186.241659,132.4027526,300.9044884
i-048c3c6548c1a414a,2,46,9.048003515,0.007695339,6.578620778,0.089089444,125962,253.3791625,i-048c3c6548c1a414a,726.6,605.5,1332.1,172.5863391,101.3851293,161.6020146
i-0507566c757134fb6,2,46,9.05448548,0.009356257,6.527181917,0.034336116,124209.6667,231.8045153,i-0507566c757134fb6,763.3,585.5,1348.8,245.4397641,105.7904112,331.1994364
i-05e473f8ff82c1527,2,46,9.055639002,0.010239151,6.364328172,0.047121548,125899,379.8683983,i-05e473f8ff82c1527,477.8,537.8,1015.6,176.2276306,161.6792435,296.1974567
i-067b2519b614c8f9d,2,46,9.041894807,0.008257695,6.361681064,0.054721635,123145,409.6376448,i-067b2519b614c8f9d,516.4,608.9,1125.3,244.8542424,163.4873084,318.5941514
i-06b96f53253b4cc2e,2,46,9.045607567,0.009654764,6.528736062,0.049875542,124580.3333,75.07551754,i-06b96f53253b4cc2e,466,586.8,1052.8,192.5287857,146.023438,294.70128
i-071a48cf857bce94f,2,46,9.042927027,0.006589713,6.407407231,0.031484327,123424,221.7588781,i-071a48cf857bce94f,723.5,707.5,1431,403.901872,306.4467509,683.737604
i-07379900fe80899d6,2,46,9.051259491,0.009684988,6.525305695,0.027176634,125030,450.1599716,i-07379900fe80899d6,496.5,549.9,1046.4,164.5250741,135.1110243,240.4727751
i-0763ab86e85627573,2,46,9.053479539,0.005393829,6.551533646,0.048205905,117659,50.92150823,i-0763ab86e85627573,722.8,671.7,1394.5,463.8210383,347.4037197,754.126905
i-07998976f194caa97,2,46,9.053976721,0.008848206,6.371637848,0.030176489,124533.6667,277.835083,i-07998976f194caa97,732.6,639.8,1372.4,102.2732723,179.4607973,242.4789567
i-07be1c77f6fdf8eda,2,46,9.042818811,0.005691005,6.541532093,0.080549436,124394,674.3804564,i-07be1c77f6fdf8eda,527.3,613.6,1140.9,153.1172753,103.0417391,162.5303049
i-07c76ac1348426483,2,46,9.051941501,0.009042399,6.507345067,0.037953001,123775.6667,393.9826561,i-0837f0f6a7a42ac68,721.3,629.2,1350.5,227.6757197,152.5201626,348.2423326
i-0837f0f6a7a42ac68,2,46,9.043768591,0.008535932,6.558636745,0.05391028,125991.6667,388.1975442,i-084caea7d9c000ba9,527,598.7,1125.7,409.0930348,389.1672163,768.2988496
i-084caea7d9c000ba9,2,46,9.053652445,0.011645063,6.567279471,0.059889261,123074.6667,252.5951966,i-08559b79281547ef2,461.8,523.5,985.3,147.1883148,144.8357307,271.2694642
i-08559b79281547ef2,2,46,9.043815957,0.007248495,6.535274082,0.05158775,124162,195.4686676,i-08e70b514c8c3cd5a,429.4,485.8,915.2,133.4484503,152.3204225,211.917594
i-08e70b514c8c3cd5a,2,46,9.053282658,0.006668667,6.402214607,0.058258972,126861,402.3170392,i-08ff78a502245298a,495.9,556.2,1052.1,150.0499546,168.4226166,252.1218621
i-08ff78a502245298a,2,46,9.050177336,0.010105136,6.367086437,0.024467314,126988,477.0670812,i-095d06d26dd29ecec,422,523.7,945.7,160.5241415,192.7704738,234.5255494
i-095d06d26dd29ecec,2,46,9.046805488,0.007941793,6.446796523,0.048927146,124126.3333,539.1997156,i-0977cb2af690d36fd,512,544.8,1056.8,170.5520448,133.8056634,267.4795112
i-0977cb2af690d36fd,2,46,9.044412454,0.008346838,6.36080326,0.053119681,128345.6667,118.4919125,i-09c658651b17c197e,594.5,588,1182.5,385.3094716,184.4065557,468.3626918
i-09c658651b17c197e,2,46,9.053854624,0.011562677,6.557164722,0.092048919,124561.6667,273.1031551,i-0ab84c959b473605a,670.4,568.7,1239.1,668.3517371,390.5275776,1042.367119
i-0aecb3d1daeccc874,2,46,9.044484112,0.006905093,6.54184617,0.039061847,125068,93.61623791,i-0aecb3d1daeccc874,635.7,586.4,1222.1,267.4746302,201.9010759,405.25505
i-0b138e3642a677559,2,46,9.045502821,0.008661834,6.339143541,0.042686639,123295,257.4470819,i-0b138e3642a677559,532.3,504.3,1036.6,300.3631321,145.2714318,430.5167954
i-0b3a38b18367faa71,2,46,9.041382472,0.004526007,6.307488203,0.035498319,125701,90.42123644,i-0ba417327f988ba2b,583.3,544.1,1127.4,485.6997358,236.3375411,697.171938
i-0ba417327f988ba2b,2,46,9.049614959,0.006290509,6.575997459,0.067571503,123281.6667,122.5166655,i-0bfaa8f4e041c36fa,687.3,562.3,1249.6,565.0870238,291.3432683,842.3083626
i-0bfaa8f4e041c36fa,2,46,9.052760177,0.010052503,6.542073144,0.101378723,124397.6667,44.37717131,i-0c3e9f9e7b281edfe,520.5,507.2,1027.7,270.6778528,192.3086639,457.3037041
i-0c3e9f9e7b281edfe,2,46,9.041612917,0.005695672,6.515103578,0.027951815,128365.3333,263.7903208,i-0cc4b604b837f69d9,548.7,555.2,1103.9,139.6360746,101.6429481,215.8628423
i-0cc4b604b837f69d9,2,46,9.04042636,0.007248384,6.345156034,0.043061211,123714,282.3242816,i-0d136c81f43ce8a29,627.7,530.2,1157.9,332.0374979,152.3780387,415.0369328
i-0d136c81f43ce8a29,2,46,9.051007244,0.010172751,6.374655141,0.032436932,126643.3333,364.1240631,i-0d1c421d52c368b29,611.8,646.5,1258.3,668.702691,359.9176603,1004.446011
i-0d1c421d52c368b29,2,46,9.044637548,0.007473164,6.539414883,0.033866488,122670.3333,267.7486383,i-0d44050a4e6a71d7c,539.6,491.2,1030.8,266.0639856,127.7252259,387.1766178
i-0d44050a4e6a71d7c,2,46,9.045452012,0.007370433,6.563385725,0.111566497,123999.6667,215.3539722,i-0d6feb91baa545931,744.8,566,1310.8,333.3999267,124.5703728,418.897707
i-0d6feb91baa545931,2,46,9.054452578,0.010213472,6.318398582,0.021420734,121818.3333,374.0672845,i-0d75b8bf3603b2040,471.8,565.8,1037.6,176.0061868,93.61956111,157.4097272
i-0dcfa6d3bc470d28d,2,46,9.053336753,0.008098937,6.347675376,0.020644015,125027,125.383412,i-0dcfa6d3bc470d28d,579.5,562.6,1142.1,143.356006,198.7428266,284.295015
i-0e167bbfcd6a685f5,2,46,9.044658634,0.007668755,6.552602079,0.026415095,125747.6667,338.0493061,i-0e167bbfcd6a685f5,480,577,1057,395.5196301,375.3854316,761.6245794
