,iperf,sysbench,ycruncher,pgbench,setId,vmId
3441,574.0,9.062099457,6.560568094,125463,48,20
3442,662.0,9.049278498,6.41238904,124475,48,20
3443,906.0,9.038351297,6.424748421,124221,48,20
3444,1009.0,9.059948921,6.567251205,124092,48,21
3445,699.0,9.037380934,6.427916527000001,123372,48,21
3446,859.0,9.038072348,6.417141438,123349,48,21
3447,907.0,9.060294151,6.604222775,121739,48,22
3448,1031.0,9.038783073,6.552230597,121574,48,22
3449,1795.0,9.037151097999999,6.523937463999999,121051,48,22
3450,1144.0,9.058873415,6.5079207420000005,124499,48,23
3451,1185.0,9.037310362000001,6.47241807,122574,48,23
3452,627.0,9.040807247,6.42381978,124023,48,23
3453,1194.0,9.076292515,6.522567511,125417,48,24
3454,838.0,9.039382219,6.500990152000001,124769,48,24
3455,1678.0,9.038293362000001,6.454284906,124023,48,24
3456,617.0,9.059153318,6.6010828020000005,125079,48,25
3457,1042.0,9.041177034,6.570406199,124204,48,25
3458,1643.0,9.037887572999999,6.408766985,124149,48,25
3459,1067.0,9.060358524,6.590922593999999,115307,48,26
3460,1200.0,9.047449589,6.620047092,114439,48,26
3461,573.0,9.040609121000001,6.416047096000001,114134,48,26
3462,1274.0,9.056695461,6.5706279279999995,121832,48,27
3463,1020.0,9.03435564,6.55368042,121070,48,27
3464,911.0,9.042072296,6.434896946,120576,48,27
3465,1236.0,9.038019419,6.575733185,125361,48,28
3466,1061.0,9.040322781,6.50881052,124447,48,28
3467,1064.0,9.038211107,6.407304525,124284,48,28
3468,1181.0,9.039960384,6.533995152,121872,48,29
3469,1291.0,9.038393497000001,6.482174157999999,121059,48,29
3470,1476.0,9.040373325,6.404814958999999,120030,48,29
3471,1305.0,9.039293528,6.587106228,123750,48,30
3472,1022.0,9.039503574,6.5088713170000005,123650,48,30
3473,856.0,9.038234711,6.417350531,123554,48,30
3474,709.0,9.061572075,6.552468537999999,122742,48,31
3475,928.0,9.042122602000001,6.513765812000001,121911,48,31
3476,853.0,9.040146112,6.416136503,122936,48,31
3477,1190.0,9.044475555,6.609646082,122856,48,32
3478,1392.0,9.042764902,6.462531805,122949,48,32
3479,3050.0,9.047530651,6.439404726,122783,48,32
3480,1149.0,9.058820962999999,6.521949052999999,124744,48,33
3481,1670.0,9.037523508,6.378028631,123683,48,33
3482,4600.0,9.038942814,6.391139507,124203,48,33
